"","resource","consumer"
"187","Amphidinium","Microcalanus pygmaeus"
"188","Amphidinium","Microsetella norvegica"
"189","Amphidinium","Oithona frigida"
"190","Amphidinium","Oithona similis"
"191","Amphidinium","Pleuromamma abdominalis"
"192","Amphidinium","Pleuromamma antarctica"
"193","Amphidinium","Racovitzanus antarcticus"
"194","Amphidinium","Rhincalanus gigas"
"195","Amphidinium","Salpa thompsoni"
"196","Amphidinium","Scaphocalanus australis"
"197","Amphidinium","Scolecithricella minor"
"198","Amphidinium","Thysanoessa vicina"
"199","Amphidinium","Vibilia antarctica"
"200","Amphisolenia","Appendicularia"
"201","Amphisolenia","Calanoides acutus"
"202","Amphisolenia","Calanus propinquus"
"203","Amphisolenia","Clio piatkowskii"
"204","Amphisolenia","Clio pyramidata"
"205","Amphisolenia","Cyphocaris faurei"
"206","Amphisolenia","Cyphocaris richardi"
"207","Amphisolenia","Euphausia frigida"
"208","Amphisolenia","Euphausia superba"
"209","Amphisolenia","Eusiroides stenopleura"
"210","Amphisolenia","Gaetanus tenuispinus"
"211","Amphisolenia","Metridia gerlachei"
"212","Amphisolenia","Metridia lucens"
"213","Amphisolenia","Microcalanus pygmaeus"
"214","Amphisolenia","Microsetella norvegica"
"215","Amphisolenia","Oithona frigida"
"216","Amphisolenia","Oithona similis"
"217","Amphisolenia","Pleuromamma abdominalis"
"218","Amphisolenia","Pleuromamma antarctica"
"219","Amphisolenia","Racovitzanus antarcticus"
"220","Amphisolenia","Rhincalanus gigas"
"221","Amphisolenia","Salpa thompsoni"
"222","Amphisolenia","Scaphocalanus australis"
"223","Amphisolenia","Scolecithricella minor"
"224","Amphisolenia","Thysanoessa vicina"
"225","Amphisolenia","Vanadis"
"226","Amphisolenia","Vibilia antarctica"
"227","Antarctomysis maxima","Acanthephyra pelagica"
"228","Antarctomysis maxima","Bathyteuthis abyssicola"
"229","Antarctomysis maxima","Batoteuthis skolops"
"230","Antarctomysis maxima","Beroe"
"231","Antarctomysis maxima","Callianira"
"232","Antarctomysis maxima","Electrona antarctica"
"233","Antarctomysis maxima","Galiteuthis glacialis"
"234","Antarctomysis maxima","Gigantocypris muelleri"
"235","Antarctomysis maxima","Gonatus antarcticus"
"236","Antarctomysis maxima","Gymnoscopelus braueri"
"237","Antarctomysis maxima","Gymnoscopelus nicholsi"
"238","Antarctomysis maxima","Mastigoteuthis"
