resource,consumer
Betaeus truncatus,Phalacrocorax atriceps
Carcinus maenas,Phalacrocorax atriceps
Echiurids,Phalacrocorax atriceps
Eleginops maclovinus,Phalacrocorax atriceps
Engraulis anchoita,Phalacrocorax atriceps
Eunicidae,Phalacrocorax atriceps
Genypterus blacodes,Phalacrocorax atriceps
isopods,Phalacrocorax atriceps
Lithodes santolla,Phalacrocorax atriceps
Munida gregaria,Phalacrocorax atriceps
Octopus tehuelchus,Phalacrocorax atriceps
Odontesthes spp,Phalacrocorax atriceps
Patagonotothen spp,Phalacrocorax atriceps
Peltarion spinosulum,Phalacrocorax atriceps
Percophis brasiliensis,Phalacrocorax atriceps
Pleoticus muelleri,Phalacrocorax atriceps
Polychaeta,Phalacrocorax atriceps
Ramnogaster arcuata,Phalacrocorax atriceps
Raneya spp,Phalacrocorax atriceps
Ribeiroclinus eigenmanni,Phalacrocorax atriceps
Stromateus brasiliensis,Phalacrocorax atriceps
Merluccius hubbsi,Phalacrocorax atriceps
Doryteuthis gahi,Phalacrocorax magellanicus
Agonopsis chiloensis,Phalacrocorax magellanicus
Austropandalus grayi,Phalacrocorax magellanicus
Betaeus truncatus,Phalacrocorax magellanicus
Echiurids,Phalacrocorax magellanicus
Eleginops maclovinus,Phalacrocorax magellanicus
Engraulis anchoita,Phalacrocorax magellanicus
Genypterus blacodes,Phalacrocorax magellanicus
Lithodes santolla,Phalacrocorax magellanicus
Munida gregaria,Phalacrocorax magellanicus
Nemadactylus bergi,Phalacrocorax magellanicus
Octopus tehuelchus,Phalacrocorax magellanicus
Odontesthes spp,Phalacrocorax magellanicus
Patagonotothen spp,Phalacrocorax magellanicus
Peltarion spinosulum,Phalacrocorax magellanicus
Percophis brasiliensis,Phalacrocorax magellanicus
Pleoticus muelleri,Phalacrocorax magellanicus
Polychaeta,Phalacrocorax magellanicus
Ramnogaster arcuata,Phalacrocorax magellanicus
Raneya spp,Phalacrocorax magellanicus
Ribeiroclinus eigenmanni,Phalacrocorax magellanicus
Merluccius hubbsi,Phalacrocorax magellanicus
Eleginops maclovinus,Phalacrocorax olivaceus
Odontesthes spp,Phalacrocorax olivaceus
Aequipecten tehuelchus,Pinguipes brasilianus
